正题名,创建日期,导演,演员,出品年代,内容描述,总集数,分类名称,连续剧分类,字母语种,声轨,声道语种,地区参数,画面高宽比,编码格式,编码码率,彩色.黑白,来源,批次,标清.高清,内容编号,素材分类,标识,素材分类.1,编目层ID,入点,时长,编目层,首播日期,素材大小,海报
10月28日 猪猪侠之五灵守卫者(南方少儿),2017/10/29 10:34,无,无,2017,10月28日 猪猪侠之五灵守卫者,1,电视剧场,猪猪侠之五灵守卫者,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,少儿,标清,35825,无,51759,1,51745,00:00.0,01:50.1,节目层,无,2467.35,35696
(待删)国民大生活(37),2017/10/29 10:28,夏晓昀,郑恺，袁姗姗,2016,王舒望和陆露在泰国相遇相识，经历了一系列惊心动魄的事情之后，相爱了。回国后，两人准备结婚，却遭到了双方家庭的反对。王舒望放弃了北京的事业，来到上海，开了一家陶瓷店，向陆露的家人证明自己可以给陆露更好的生活。陆露的父母依旧认为王舒望和陆露不合适，不同意他们的婚事。王舒望的异父异母姐姐赵燕也多次来到上海，还和陆露的妈妈蒋妙音发生了争吵。这让两人的婚事再度拖延。陆露和王舒望的爱情不断经受着来自双方家庭的打击和考验……,40,电视剧场\大陆剧场,国民大生活,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10022,无,高清,42556,无,51753,1,51730,00:00.0,40:26.1,节目层,无,2314.29,35651
10月28日 快乐大本营：潘玮柏吴昕合体发糖超甜蜜,2017/10/29 10:27,无,无,2017,10月28日 快乐大本营：潘玮柏吴昕合体发糖超甜蜜,1,综艺娱乐,快乐大本营(热),中文,MP2,国语,大陆,16:09,H264,5M,彩色,10022,无,高清,49124,无,51755,1,51744,00:00.0,40:07.1,节目层,无,5729.43,35653
外来媳妇本地郎：师奶争头位(下),2017/10/29 10:24,无,无,2017,外来媳妇本地郎：师奶争头位(下),1,电视剧场\大陆剧场,外来媳妇本地郎,中文,MP2,粤语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,17399,无,51751,1,51718,00:00.0,22:57.1,节目层,无,916.08,35684
10月28日 特别呈现：我在故宫修文物(02),2017/10/29 10:09,无,无,2017,10月28日 特别呈现：我在故宫修文物(02),1,科学教育,特别呈现,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10042,无,高清,16448,无,51745,1,51720,00:00.0,54:49.1,节目层,无,3137.41,35647
10月28日 开心联盟争霸战(嘉佳卡通),2017/10/29 10:07,无,无,2017,10月28日 开心联盟争霸战,1,电视剧场,开心联盟争霸战,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,少儿,标清,48884,无,51742,1,51726,00:00.0,33:53.0,节目层,无,3745.91,35694
情满四合院(44),2017/10/29 10:04,刘家成,何冰，郝蕾，海一天，卫紫冰,2014,何雨柱是钢厂食堂的厨师，为人善良仗义却口无遮拦，人称“傻柱”。同院住着钢厂工人秦淮茹，她讲孝道，又能干，膝下有一儿两女，但丈夫因工伤去世，日子过得比较艰难。院里住着钢厂放映员许大茂，为人自私自利，跟傻柱是对头。院里还住着三位受人尊敬的老工人，人称“三位大爷”，一旦院里发生邻里纠纷，都由三位大爷协调解决。傻柱看似不着调，却心地善良，不仅对秦淮茹一家的生活资助颇多，还为孤寡老人聋奶奶养老送终。傻柱在与邻里之间的相处中逐渐成熟起来，有了男人的责任与担当。在改革开放的春风下，傻柱开办饭店，并把四合院改建成养老院，和所有的“邻里家人”幸福和睦地生活在一起。,42,电视剧场\大陆剧场,情满四合院,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,37578,无,51739,1,51721,00:00.0,37:36.2,节目层,无,1500.82,35640
10月28日 我是演说家 第四季：鲁豫黄子佼台上击剑,2017/10/29 10:01,无,无,2017,10月28日 我是演说家 第四季：鲁豫黄子佼台上击剑,1,综艺娱乐,我是演说家 第四季(热),中文,MP2,国语,大陆,16:09,H264,5M,彩色,10022,无,高清,39891,无,51738,1,51728,00:00.0,40:36.2,节目层,无,5757.36,35667
情满四合院(44),2017/10/29 9:56,刘家成,何冰，郝蕾，海一天，卫紫冰,2014,何雨柱是钢厂食堂的厨师，为人善良仗义却口无遮拦，人称“傻柱”。同院住着钢厂工人秦淮茹，她讲孝道，又能干，膝下有一儿两女，但丈夫因工伤去世，日子过得比较艰难。院里住着钢厂放映员许大茂，为人自私自利，跟傻柱是对头。院里还住着三位受人尊敬的老工人，人称“三位大爷”，一旦院里发生邻里纠纷，都由三位大爷协调解决。傻柱看似不着调，却心地善良，不仅对秦淮茹一家的生活资助颇多，还为孤寡老人聋奶奶养老送终。傻柱在与邻里之间的相处中逐渐成熟起来，有了男人的责任与担当。在改革开放的春风下，傻柱开办饭店，并把四合院改建成养老院，和所有的“邻里家人”幸福和睦地生活在一起。,42,电视剧场\大陆剧场,(热)情满四合院,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10022,无,高清,40512,无,51734,1,51725,00:00.0,37:36.2,节目层,无,2152.49,35690
飞哥战队(10),2017/10/29 9:37,曾晓欣,袁文康，杨梓墨，许瑶璇，郑晓宁，洪剑涛，姚刚，王俊鹏,2017,驻扎济南的日军高层对梁飞屡次破坏日军的计划恨之入骨，特别将有作战经验的山本调到济南，成立特别行动小组，并制定了一套围剿梁飞及武工队的作战方案。八路军济南武工队得知这一情报，特命梁飞调动一切可以调动的抗战力量，成立一支战队，目的就是要粉碎日本鬼子的阴谋。然而战队的形成梁飞有自己的想法，贵在精而不在多。,50,电视剧场\大陆剧场,(热)飞哥战队,中文,MP2,国语,大陆,16:09,H264,4M,彩色,10042,无,高清,29970,无,51727,1,51732,00:00.0,45:22.0,节目层,无,2596.29,35652
（待删）10月28日 特别呈现：我在故宫修文物(02),2017/10/29 9:19,无,无,2017,（待删）10月28日 特别呈现：我在故宫修文物(02),1,综艺娱乐,金星秀,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10013,无,高清,40699,无,51722,1,51701,00:00.0,54:03.0,节目层,无,3093.19,35668
10月29日 新大头儿子和小头爸爸 第四季(中央少儿),2017/10/29 9:11,无,无,2017,10月29日 新大头儿子和小头爸爸 第四季,1,电视剧场\大陆剧场,新大头儿子和小头爸爸 第四季,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10042,少儿,高清,44249,无,51720,1,51706,00:00.0,38:12.1,节目层,无,2186.64,35707
10月28日 时代：导盲犬珍妮,2017/10/29 8:58,无,无,2017,10月28日 时代：导盲犬珍妮,1,科学教育,时代,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10042,无,高清,10622,无,51718,1,51709,00:00.0,27:28.2,节目层,无,1572.71,35680
神盾局特工 第一季(19)调字幕,2017/10/28 16:26,乔斯·韦登,克拉克·格雷格，温明娜，布雷特·道顿，伊恩·德·卡斯泰克,2013,神盾局资深特工菲尔·科尔森从夏季档票房大片《复仇者联盟》归来，回到执法机构神盾局。他组织了一支精锐、训练有素的特工小组，处理那些还未被指定为机密的案件：那些新的、陌生的、未知的东西。,22,电视剧场\欧美剧场,神盾局特工 第一季,中文,MP2,英语,美国,16:09,H264,6M,彩色,10033,无,高清,13009,无,51706,1,51687,00:00.0,43:03.2,节目层,无,2402.6,35567
神盾局特工 第一季(06)调字幕,2017/10/28 13:04,乔斯·韦登,克拉克·格雷格，温明娜，布雷特·道顿，伊恩·德·卡斯泰克,2013,神盾局资深特工菲尔·科尔森从夏季档票房大片《复仇者联盟》归来，回到执法机构神盾局。他组织了一支精锐、训练有素的特工小组，处理那些还未被指定为机密的案件：那些新的、陌生的、未知的东西。,22,电视剧场\欧美剧场,神盾局特工 第一季,中文,MP2,英语,美国,16:09,H264,6M,彩色,10033,无,高清,26161,无,51700,1,51685,00:00.0,43:02.2,节目层,无,2401.93,35582
神盾局特工 第一季(04)调字幕,2017/10/28 12:59,乔斯·韦登,克拉克·格雷格，温明娜，布雷特·道顿，伊恩·德·卡斯泰克,2013,神盾局资深特工菲尔·科尔森从夏季档票房大片《复仇者联盟》归来，回到执法机构神盾局。他组织了一支精锐、训练有素的特工小组，处理那些还未被指定为机密的案件：那些新的、陌生的、未知的东西。,22,电视剧场\欧美剧场,神盾局特工 第一季,中文,MP2,英语,美国,16:09,H264,6M,彩色,10033,无,高清,15030,无,51689,1,51586,00:00.0,42:30.0,节目层,无,2432.3,35570
10月27日 新闻联播,2017/10/28 11:17,无,无,2017,10月27日 新闻联播,1,新闻时事,无,中文,MP2,国语,大陆,16:09,H264,6M,彩色,10042,无,高清,30435,无,51684,1,51573,00:00.0,33:00.0,节目层,无,1888.57,35634
飞哥战队(09),2017/10/28 11:15,曾晓欣,袁文康，杨梓墨，许瑶璇，郑晓宁，洪剑涛，姚刚，王俊鹏,2017,驻扎济南的日军高层对梁飞屡次破坏日军的计划恨之入骨，特别将有作战经验的山本调到济南，成立特别行动小组，并制定了一套围剿梁飞及武工队的作战方案。八路军济南武工队得知这一情报，特命梁飞调动一切可以调动的抗战力量，成立一支战队，目的就是要粉碎日本鬼子的阴谋。然而战队的形成梁飞有自己的想法，贵在精而不在多。,50,电视剧场\大陆剧场,飞哥战队,中文,MP2,国语,大陆,16:09,H264,4M,彩色,10042,无,高清,33677,无,51683,1,51580,00:00.0,45:22.1,节目层,无,2596.73,35577
情满四合院(42),2017/10/28 11:14,刘家成,何冰，郝蕾，海一天，卫紫冰,2014,何雨柱是钢厂食堂的厨师，为人善良仗义却口无遮拦，人称“傻柱”。同院住着钢厂工人秦淮茹，她讲孝道，又能干，膝下有一儿两女，但丈夫因工伤去世，日子过得比较艰难。院里住着钢厂放映员许大茂，为人自私自利，跟傻柱是对头。院里还住着三位受人尊敬的老工人，人称“三位大爷”，一旦院里发生邻里纠纷，都由三位大爷协调解决。傻柱看似不着调，却心地善良，不仅对秦淮茹一家的生活资助颇多，还为孤寡老人聋奶奶养老送终。傻柱在与邻里之间的相处中逐渐成熟起来，有了男人的责任与担当。在改革开放的春风下，傻柱开办饭店，并把四合院改建成养老院，和所有的“邻里家人”幸福和睦地生活在一起。,42,电视剧场\大陆剧场,情满四合院,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,23343,无,51680,1,51577,00:00.0,37:37.2,节目层,无,1501.54,35594
飞哥战队(08),2017/10/28 11:13,曾晓欣,袁文康，杨梓墨，许瑶璇，郑晓宁，洪剑涛，姚刚，王俊鹏,2017,驻扎济南的日军高层对梁飞屡次破坏日军的计划恨之入骨，特别将有作战经验的山本调到济南，成立特别行动小组，并制定了一套围剿梁飞及武工队的作战方案。八路军济南武工队得知这一情报，特命梁飞调动一切可以调动的抗战力量，成立一支战队，目的就是要粉碎日本鬼子的阴谋。然而战队的形成梁飞有自己的想法，贵在精而不在多。,50,电视剧场\大陆剧场,飞哥战队,中文,MP2,国语,大陆,16:09,H264,4M,彩色,10042,无,高清,25158,无,51681,1,51579,00:00.0,45:19.0,节目层,无,2593.52,35576
情满四合院(43),2017/10/28 11:13,刘家成,何冰，郝蕾，海一天，卫紫冰,2014,何雨柱是钢厂食堂的厨师，为人善良仗义却口无遮拦，人称“傻柱”。同院住着钢厂工人秦淮茹，她讲孝道，又能干，膝下有一儿两女，但丈夫因工伤去世，日子过得比较艰难。院里住着钢厂放映员许大茂，为人自私自利，跟傻柱是对头。院里还住着三位受人尊敬的老工人，人称“三位大爷”，一旦院里发生邻里纠纷，都由三位大爷协调解决。傻柱看似不着调，却心地善良，不仅对秦淮茹一家的生活资助颇多，还为孤寡老人聋奶奶养老送终。傻柱在与邻里之间的相处中逐渐成熟起来，有了男人的责任与担当。在改革开放的春风下，傻柱开办饭店，并把四合院改建成养老院，和所有的“邻里家人”幸福和睦地生活在一起。,42,电视剧场\大陆剧场,情满四合院,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,35193,无,51679,1,51576,00:00.0,39:20.1,节目层,无,1569.85,35583
使徒行者2(30)(大结局),2017/10/28 11:08,苏万聪，苏嘉敏,苗侨伟，陈豪，宣萱，袁伟豪，周柏豪,2017,欢喜与德信各自进行对“乌兹尔国”的洗黑钱计划……,30,电视剧场\港台剧场,使徒行者2,中文,MP2,粤语,香港,16:09,H264,6M,彩色,10039,无,高清,29039,无,51677,1,51574,00:00.0,42:51.1,节目层,无,2391.35,35605
10月27日 真相：科学重器(05),2017/10/28 10:49,无,无,2017,10月27日 真相：科学重器(05),1,科学教育,真相,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10042,无,高清,11681,无,51665,1,51560,00:00.0,26:27.2,节目层,无,1514.46,35565
老表，毕业喇！(25),2017/10/28 10:39,黄伟声,郭晋安，蔡少芬，林欣彤，王祖蓝，蒋志光,2017,明亨被人追数，迫令抵押楼宇还债……,20,电视剧场\港台剧场,老表，毕业喇！,中文,MP2,粤语,香港,16:09,H264,5M,彩色,10039,无,高清,36950,无,51661,1,51563,00:00.0,42:50.0,节目层,无,2390.01,35606
10月27日 彩虹宝宝2(中央少儿),2017/10/28 10:30,无,无,2017,10月27日 彩虹宝宝2,1,电视剧场\大陆剧场,彩虹宝宝2,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10042,少儿,高清,17937,无,51656,1,51557,00:00.0,22:26.2,节目层,无,1284.62,35632
维和步兵营(33),2017/10/28 10:13,宁海强，翌翔,杜淳，贾青，徐洪浩，何达，刘润南，沈浩,2017,利比亚撤侨事件中，中国军人林浩楠在执行危险救援任务时救下战地记者海蓝，两人不打不相识，却是缘分的开始。为响应国家“军事力量走出去”战略，陆军组建了以林浩楠为指挥官的首支维和作战部队“维和步兵营”。不料海蓝也加入到步兵营的训练当中，两人在训练中成为欢喜冤家，互生情愫。随后林浩楠带领步兵营将士前往西非维和，临行前，林浩楠为保护海蓝，决定与她分手。不料在非洲艰难危险的维和工作中，海蓝在一个完全意想不到的场合再次出现。,35,电视剧场\大陆剧场,维和步兵营,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,30856,无,51647,1,51546,00:00.0,49:30.0,节目层,无,1975.2,35553
国民大生活(35),2017/10/28 9:47,夏晓昀,郑恺，袁姗姗,2016,王舒望和陆露在泰国相遇相识，经历了一系列惊心动魄的事情之后，相爱了。回国后，两人准备结婚，却遭到了双方家庭的反对。王舒望放弃了北京的事业，来到上海，开了一家陶瓷店，向陆露的家人证明自己可以给陆露更好的生活。陆露的父母依旧认为王舒望和陆露不合适，不同意他们的婚事。王舒望的异父异母姐姐赵燕也多次来到上海，还和陆露的妈妈蒋妙音发生了争吵。这让两人的婚事再度拖延。陆露和王舒望的爱情不断经受着来自双方家庭的打击和考验……,40,电视剧场\大陆剧场,国民大生活,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,34797,无,51642,1,51536,00:00.0,40:08.2,节目层,无,1602,35592
(待删)维和步兵营(34),2017/10/28 9:40,宁海强，翌翔,杜淳，贾青，徐洪浩，何达，刘润南，沈浩,2017,利比亚撤侨事件中，中国军人林浩楠在执行危险救援任务时救下战地记者海蓝，两人不打不相识，却是缘分的开始。为响应国家“军事力量走出去”战略，陆军组建了以林浩楠为指挥官的首支维和作战部队“维和步兵营”。不料海蓝也加入到步兵营的训练当中，两人在训练中成为欢喜冤家，互生情愫。随后林浩楠带领步兵营将士前往西非维和，临行前，林浩楠为保护海蓝，决定与她分手。不料在非洲艰难危险的维和工作中，海蓝在一个完全意想不到的场合再次出现。,35,电视剧场\大陆剧场,维和步兵营,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10022,无,高清,34983,无,51636,1,51533,00:00.0,53:37.1,节目层,无,3068.7,35572
10月27日 开心宝贝之奇幻之旅(嘉佳卡通),2017/10/28 9:20,无,无,2017,10月27日 开心宝贝之奇幻之旅,1,电视剧场,开心宝贝之奇幻之旅,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,少儿,标清,49894,无,51631,1,51541,00:00.0,50:38.2,节目层,无,2020.87,35620
10月27日 广州新闻日日睇,2017/10/28 9:13,无,无,2017,10月27日 广州新闻日日睇,1,新闻时事,G4 资讯/广州新闻日日睇,中文,MP2,粤语,大陆,4:03,MPEG2,6M,彩色,10005,无,标清,12022,无,51629,1,51520,00:00.0,02:08.2,节目层,无,2479.58,35635
10月26日 花城全视角,2017/10/27 14:00,无,无,2017,该栏目围绕百姓关注话题，用百姓视角和观众聊聊身边人、身边事。,1,生活服务,无,中文,MP2,国语,大陆,16:09,H264,7.5M,彩色,10008,无,高清,15297,无,51615,1,51511,00:00.0,16:18.2,节目层,无,1280.02,24005
碧海雄心(02),2017/10/27 9:52,陈健，姜国民,陈思诚，张国强，袁泉，王媛可，于小彤，丁海峰，唐国强,2017,六名学生和八名渔民遭遇风暴，在海上遇险，十几条生命连同渔船即将葬身海底。危急时刻，救援船和救援直升机赶赴出事海域，进行紧急救援。最终，遇险学生和渔民获救，但潜水救生员郑子航却牺牲了，留下来一个遗腹子。他的战友陈一诺则替他担起了父亲的责任，照顾他的遗孀和儿子，并和高亮等其他救援队员一起，完成了郑子航的心愿，打捞二战时期被击沉的日军运输船“南翔丸”，创造了救捞史上的奇迹。,36,电视剧场\大陆剧场,碧海雄心,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10022,无,高清,21343,无,51597,1,51515,00:00.0,44:49.1,节目层,无,2565.25,35524
10月26日 万象：进化奇技大盘点(04),2017/10/27 9:46,无,无,2017,10月26日 万象：进化奇技大盘点(04),1,科学教育,万象,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10042,无,高清,20296,无,51591,1,51474,00:00.0,46:54.1,节目层,无,2684.23,35485
10月26日 寰宇视野：生命之旅-家园,2017/10/27 9:40,无,无,2017,10月26日 寰宇视野：生命之旅-家园,1,科学教育,寰宇视野,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10042,无,高清,16056,无,51587,1,51478,00:00.0,53:36.2,节目层,无,3068.11,35508
10月26日 彩虹宝宝2(中央少儿),2017/10/27 9:35,无,无,2017,10月26日 彩虹宝宝2,1,电视剧场\大陆剧场,彩虹宝宝2,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10042,少儿,高清,38257,无,51583,1,51481,00:00.0,22:26.2,节目层,无,1284.62,35536
维和步兵营(32),2017/10/27 9:24,宁海强，翌翔,杜淳，贾青，徐洪浩，何达，刘润南，沈浩,2017,利比亚撤侨事件中，中国军人林浩楠在执行危险救援任务时救下战地记者海蓝，两人不打不相识，却是缘分的开始。为响应国家“军事力量走出去”战略，陆军组建了以林浩楠为指挥官的首支维和作战部队“维和步兵营”。不料海蓝也加入到步兵营的训练当中，两人在训练中成为欢喜冤家，互生情愫。随后林浩楠带领步兵营将士前往西非维和，临行前，林浩楠为保护海蓝，决定与她分手。不料在非洲艰难危险的维和工作中，海蓝在一个完全意想不到的场合再次出现。,35,电视剧场\大陆剧场,维和步兵营,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,29345,无,51574,1,51497,00:00.0,41:35.1,节目层,无,1659.52,35504
